Deutsch,English
tot,dead
sollen,should
ganze,whole
andere,other
getan,did
okay,OK
rein,pure
Diese,This
Moment,moment
bleiben,remain
brauchen,need
Weil,Because
Kinder,Children
unter,under
Arbeit,Work
Für,For
Problem,problem
dafür,for that
Herr,Mister
Haben,Have
wegen,because of
Jack,Jack
liebe,love
genug,enough
dabei,included
bringen,bring
Ihre,Her
gegen,against
Weißt,You know
Sag,say
schnell,fast
nun,so
eines,one
brauche,need
Abend,Evening
hatten,had
Jahre,Years
Mach,Do
Bruder,Brother
Sache,Matter
hören,hear
komm,come
Sohn,Son
seit,since
Morgen,Morning
drei,three
steht,stands
Scheiße,Fuck
mag,like
sei,be
unser,our
konnte,could
habt,have
Oder,Or
einmal,once
heißt,is called
OK,OK
Willst,Want
Kopf,Head
Hilfe,Help
Familie,Family
Geh,Go
Baby,infant
Dich,You
Sind,Are
erst,first
fertig,complete
gefunden,found
seid,are
kam,came
nehmen,take
morgen,morning
sprechen,speak
Mir,Me
sofort,immediately
Kann,Can
Hat,Has
Jahren,years
Kind,child
seinen,his
Genau,Exactly
daran,to it
Junge,Boy
Minuten,minutes
bevor,before
Stadt,City
beim,at the
sterben,die
warst,were
Recht,Right
glauben,believe
Warte,Wait
darüber,about it
deiner,yours
lhre,yours
deinem,yours
Ende,End
He,Hey
Dinge,Things
Namen,names
wahr,true
Alle,All
allein,alone
Natürlich,Naturally
töten,kill
Nichts,Nothing
Wirklich,Really
bekommen,receive
Männer,Men
vergessen,forget
Doch,But
dazu,in addition
gab,gave
später,later
wusste,knew
Augen,Eyes
Dank,Thanks to
Freunde,Friends
Jungs,guys
halten,hold
warten,wait
Glück,Luck
beide,both
gute,good
Dein,Your
kennen,know
Deine,Your
Hi,Hi
Dr,Dr
Auto,automobile
sage,legend
gehe,go
komme,come
Dir,You
mache,make
Von,From
Uhr,Clock
sehe,see
Teufel,Devil
sonst,otherwise
Art,Art
gern,gladly
Liebe,Love
jeden,every
könnten,could
ihren,your
Halt,Stop
Fall,case
Dad,Dad
Film,Movie
bisschen,a little
eigentlich,actually
weit,far
mach,do
Gib,Give
vorbei,over
verstehe,understand
danke,Thanks
drin,inside
Im,In the
Name,Surname
ganzen,entire
Musik,Music
würden,would
Tür,door
verrückt,crazy
solltest,should
denken,think
Noch,Still
dran,your turn
Sieh,See
lieber,Dear
Den,The
leben,life
Guten,Good
Um,Around
darauf,on it
Kein,No
stimmt,true
John,John
Kerl,Guy
letzte,last
Job,job
verloren,lost
wurden,became
kenne,know
Ahnung,Idea
seiner,his
Grund,Reason
toll,Great
Bis,Until
Verdammt,Damned
bald,soon
bereit,ready
all,Alles
jemanden,someone
hinter,behind
Schon,Already
Sehr,Very
Hand,hand
darf,may
Dieser,This
Frauen,Women
Euch,You
Idee,idea
runter,down
Macht,Power
draußen,outside
lang,long
Land,country
lass,let
Typ,Type
hätten,would have
egal,doesn't matter
arbeiten,work
spät,late
stehen,stand
ok,OK
Gute,Good
gekommen,came
Bei,At
etwa,approximately
essen,eat
kleine,small
jeder,everyone
Schwester,Sister
Wasser,Water
spielen,play
Geschichte,Story
seinem,his
liegt,lies
sah,saw
Mom,Mom
Seite,Page
wenig,few
ruhig,quiet
Frage,Ask
meinst,mean
überhaupt,at all
fahren,drive
Ganz,Quite
Gehen,Go
Essen,Eat
Ruhe,Quiet
echt,Really
versucht,tried
Tochter,Daughter
Kommt,Comes
Einen,A
ging,went
Jahr,Year
braucht,needs
fast,nearly
neue,new
geh,go
ziemlich,quite
anders,different
siehst,see
Polizei,police
Stunden,Hours
musste,had to
Spiel,Game
gewesen,been
gerne,gladly
finde,find
erzählt,told
Tod,Death
Ort,Location
Chance,chance
bedeutet,means
War,Was
sag,say
sagst,say
fragen,questions
letzten,last
sogar,even
ersten,first
Sachen,Things
Wahrheit,Truth
einzige,only
kurz,short
denen,those
Kommen,Come
Spaß,Fun
Nach,After
oben,above
Mama,mummy
schwer,difficult
Schule,School
je,ever
eben,even
Gesicht,Face
bestimmt,certainly
treffen,meet
niemand,no one
Woche,Week
Entschuldigung,Excuse me
Sorgen,Care for
warte,wait
natürlich,naturally
schlecht,bad
große,size
getötet,killed
verstehen,understand
hoffe,hope
Ah,Uh
Sei,Be
Zimmer,Room
hoch,high
unserer,ours
Tage,days
Teil,Part
Wann,When
suchen,seek
verlassen,leave
zeigen,show
wollten,wanted to
lässt,leaves
Wort,Word
eins,one
zwischen,between
Woher,From where
Schatz,Treasure
Wissen,To know
versuchen,attempt
Können,Can
Kannst,Can
nett,kind
Zu,To
kriegen,get
Geht,Goes
Arsch,ass
kleinen,small
Hab,Have
weiss,white
erste,first
läuft,running
kommst,come
Freundin,Girlfriend
Mensch,Person
beiden,both
Ding,thing
niemals,never
endlich,finally
Nimm,take
muß,must
gehst,go
Heute,Today
denkst,think
Herz,Heart
Waffe,weapon
Soll,Should
tust,do
Dollar,dollar
nehme,take
Schau,Look
holen,fetch
oft,often
drauf,on it
anderes,other
Niemand,No one
unten,below
Wagen,Dare
Yeah,Yeah
Schön,Nice
wichtig,important
Mrs,Mrs
hättest,would have
allen,everyone
Miss,Miss
ihrer,of their
gedacht,thought
Nummer,number
würdest,would
erzählen,tell
bleibt,remains
Auch,Also
Hände,hands
Blut,blood
Sehen,See
bloß,just
recht,right
bringt,brings
Bett,Bed
Lassen,Let
Eltern,Parents
gefällt,pleases
Schuld,Fault
eure,your
Plan,plan
Krieg,War
neuen,new
Klar,Clear
retten,rescue
guter,goods
während,while
ihrem,theirs
wären,would be
Fehler,Mistake
scheint,appears
Lasst,Leaves
gegeben,given
An,At
hör,listen
glücklich,happy
verdammt,damned
alt,old
Platz,Place
darum,therefore
Vielen,Many
falsch,incorrect
unseren,ours
schlafen,sleep
Sagen,Say
nächsten,next
fünf,five
frei,free
Sorge,Worries
Vor,Before
fest,firmly
bereits,already
alleine,alone
Denn,Because
Zwei,Two
Fragen,Questions
möglich,possible
irgendwie,somehow
Papa,father
lernen,learn
gestern,yesterday
hierher,here
Schiff,Ship
vier,four
irgendwas,anything
Stimmt,True
Menge,Crowd
keiner,none
brauchst,need
Typen,Types
Dass,That
Stunde,Hour
Szene,scene
Hölle,hell
einige,some
Deshalb,For this reason
geworden,become
Telefon,phone
Darf,May
Feuer,Fire
Wollen,Want
Bin,Am
Alter,Old
Captain,Captain
Aus,Out of
Dieses,This
Probleme,problems
Jeder,Everyone
verstanden,understood
wann,When
alten,old
sondern,rather
guten,good
zwar,that is
eigenen,own
New,New
Körper,Body
hört,hears
Zum,For the
gebe,give
Kumpel,Dude
Hund,Dog
nochmal,again
früh,early
Hören,Hear
trinken,drink
besten,best
meines,mine
schaffen,create
alte,old
Luft,Air
Jemand,Someone
dürfen,may
Meister,master
Erde,Earth
Seit,Since
Sicher,secure
Hört,Listen
Zukunft,Future
kaum,barely
funktioniert,functions
voll,full
Bleib,Stay
reicht,suffices
weh,sore
stellen,place
Siehst,See
kleiner,smaller
großen,huge
Waffen,weapons
Büro,Office
Wahl,Choice
verlieren,lose
Wochen,weeks
Damit,With it
Stück,Piece
lieben,love
allem,everything
getroffen,met
äh,uh
Am,At the
geschafft,done
tue,do
gefallen,fallen
Tja,Well
Boss,boss
überall,everywhere
Sieht,Sees
passieren,happen
lustig,funny
Licht,Light
gebracht,brought
nennen,to name
Folge,Consequence
Gefühl,Feeling
völlig,fully
denkt,thinks
Schlüssel,Key
drüben,over there
Richtig,Correct
wieso,how come
Leuten,people
Buch,Book
laufen,run
spielt,plays
früher,earlier
Sein,Be
Sam,Sam
krank,sick
gegangen,gone
fand,found
Seine,His
Pass,passport
fühle,feel
Himmel,Heaven
froh,glad
leicht,light
direkt,direct
langsam,slow
wolltest,wanted
erinnern,remember
zuerst,first
Krankenhaus,hospital
Viel,Much
beste,best
welche,which
genommen,taken
Arzt,Physician
unserem,ours
Idiot,idiot
Machen,Make
glaubst,believe
jede,every
Ohne,Without
groß,large
hattest,had
Äh,Uh
Jungen,Boys
Rest,rest
Unsere,Our
versuche,try
Tagen,days
nächste,next
Entschuldigen,Excuse
Doktor,doctor
spricht,speaks
könnt,can
hält,holds
Team,team
Verstanden,Understood
kämpfen,battle
heiraten,marry
könntest,could
Wow,Wow
Mike,Mike
Etwas,Something
Straße,Street
Mist,Damn
König,king
redest,talk
kleines,small
lebt,lives
erklären,explain
worden,been
Millionen,millions
Wiedersehen,Goodbye
Onkel,Uncle
kennst,know
sitzen,sit
dies,this
weniger,fewer
Kaffee,Coffee
ernst,serious
wollt,want
tragen,carry
Zeug,Things
trotzdem,despite it
Michael,Michael
Ihren,Your
kaufen,buy
Liste,list
ändern,change
Kampf,Battle
hasse,hate
Person,person
Mund,mouth
umbringen,kill
Präsident,president
Boden,Floor
Wohin,Where
machte,made
Party,party
gefragt,asked
Seht,Look
irgendwo,somewhere
kümmern,take care
Frank,Frank
kennt,knows
verletzt,injured
Habt,Have
Nachricht,News
Willkommen,Welcome
vielen,many
hart,hard
lasse,let
total,total
Gefängnis,Jail
außer,except
Sicherheit,Security
Schnell,Fast
wem,whom
ehrlich,honest
interessiert,interested
Sex,sex
sagten,said
ziehen,pull
Welche,Which
Unser,Our
Augenblick,moment
angerufen,called
aufhören,stop
Klasse,Class
Bild,Picture
stark,strong
Dies,This
Eure,Your
zehn,ten
Sinn,sense
David,David
vorstellen,introduce
Tom,Tom
Traum,Dream
länger,longer
manchmal,sometimes
anrufen,call
sechs,six
Arschloch,asshole
sollst,you should
gestorben,died
Tages,day
verschwinden,disappear
Kraft,Power
gesprochen,spoken
heraus,out of here
genauso,just as
wärst,would be
Eins,One
damals,at that time
heißen,be called
Liebling,Darling
wahrscheinlich,probably
deshalb,for this reason
Stelle,Job
halt,stop
lhren,yours
Bill,Bill
erwartet,expected
solche,such
meisten,most
bringe,bring
still,quiet
umgebracht,killed
Stimme,Agree
General,general
Geben,Give
Entschuldige,Sorry
Vergiss,Forget
rede,speech
führen,lead
Bewegung,Movement
höre,listen
Sonst,Otherwise
Geschäft,Business
werdet,will
konnten,could
wartet,waits
Raus,Out
anfangen,begin
Habe,Have
hinten,rear
fällt,falls
wen,whom
Sekunden,seconds
Manchmal,Sometimes
gerettet,rescued
Naja,Oh well
Gibt,Gives
jemals,ever
Meinung,Opinion
geschehen,happen
Antwort,Answer
schlimm,terrible
Eigentlich,Actually
findet,finds
Scheiß,Shit
gewinnen,win
Tu,Do
Gedanken,Thoughts
erinnere,remember
George,George
mögen,like
Herren,Men's
York,York
Earl,Earl
klingt,sounds
vorher,previously
Auge,Eye
setzen,set
cool,cool
Anfang,Beginning
Immer,Always
danach,thereafter
Monate,Months
Lebens,life
Beste,Best
benutzen,use
Nehmen,Take
fühlen,feel
Ärger,Trouble
arbeite,work
Rolle,role
gefährlich,dangerous
Dort,There
gelernt,learned
fallen,fall
böse,evil
werd,will
Nähe,Vicinity
geschickt,sent
liebt,loves
Tisch,Table
Mehr,More
Ziel,Goal
Raum,Space
jedem,each
fliegen,fly
Wohnung,Apartment
Dafür,For that
lhnen,you
erfahren,experience
dumm,dumb
by,by
eher,rather
vorsichtig,cautious
herum,around
Klappe,flap
schicken,send
Laden,Load
aufs,onto
Wird,Becomes
Warten,Wait
großer,greater
Charlie,Charlie
arbeitet,is working
Euer,Your
Worte,words
richtige,right one
Flugzeug,Airplane
Firma,company
bezahlen,pay
Einer,One
Glaubst,Believe
falls,if
schreiben,write
tat,did
Darum,Therefore
starb,died
Schluss,Ending
Fenster,Window
liegen,lay
Verzeihung,forgiveness
niemanden,nobody
neues,new
Weiß,White
benutzt,used
jedes,each
schätze,guess
Finger,finger
wert,value
rüber,over
halte,hold
Falls,If
besonders,particularly
Daddy,Daddy
Witz,Joke
nachdem,after
nimmt,takes
Kontrolle,control
großartig,great
Herzen,hearts
gutes,good
gewonnen,won
the,the
Bier,Beer
kamen,came
Drei,Three
stolz,proud
Egal,No matter
komisch,funny
bitten,ask
Ihrer,Of their
Randy,Randy
plötzlich,suddenly
Joe,Joe
Bring,Bring
Informationen,information
bring,bring
neu,new
glaubt,believes
Seid,Are
hörte,heard
rum,rum
Lage,Position
sowieso,anyway
bekommt,receives
Ruf,Call
dagegen,against it
Richtung,Direction
nötig,necessary
Johnny,Johnny
Minute,minute
lesen,read
behalten,keep
selber,himself
verkaufen,sell
geschrieben,written
lhrer,yours
Entscheidung,Decision
unterwegs,on the way
Insel,Island
Hotel,hotel
Harry,Harry
voller,full of
Bob,bob
frage,ask
Monat,Month
rufe,shout
verdient,earned
Rachel,Rachel
gearbeitet,worked
James,James
wenigstens,at least
wünschte,wished
tu,do
schöne,lovely
Selbst,Himself
Seele,Soul
stand,was standing
Geist,Spirit
Gefahr,Danger
Gefallen,Fallen
unmöglich,impossible
gelesen,read
glaub,believe
Wegen,Because of
bezahlt,paid
Schicksal,Fate
verstehst,understand
leider,unfortunately
Monaten,months
Weile,while
verheiratet,married
mussten,had to
Agent,agent
rufen,call
jemandem,someone
gib,give
Beispiel,Example
kalt,cold
sitzt,sits
Anruf,Call
Sekunde,second
schneller,more quickly
hey,hey
verdammte,damn
Peter,Peter
euer,your
hole,fetch
Sarah,Sarah
Denkst,Think
Bauer,Farmer
Karte,Map
aller,all
Befehl,command
darfst,may
bekannt,known
Opfer,Victim
unglaublich,incredible
steckt,plugged
Ernst,Serious
unbedingt,absolutely
Wen,Whom
Zug,Train
perfekt,perfect
witzig,funny
Amerika,America
Keiner,None
Kamera,camera
führt,leads
passt,fits
schlagen,hit
kriegt,gets
Glauben,Believe
sieh,see
Homer,Homer
nennt,calls
Gefühle,feelings
ständig,constant
verändert,changed
tolle,great
Gottes,God's
heiß,hot
Partner,partner
Mörder,Murderer
folgen,consequences
Mich,Me
Computer,computer
dahin,there
ansehen,view
Außerdem,Besides that
Wovon,About what
nimm,take
klein,small
zerstört,destroyed
suche,search
I,I
nämlich,namely
Versuch,Attempt
schlimmer,worse
Sheriff,sheriff
Unfall,Accident
müsste,would have to
entschuldigen,excuse
Vorsicht,Caution
Nase,Nose
sowas,like this
schießen,shoot
alter,age
Geburtstag,Birthday
beschützen,to protect
Zurück,Back
müde,tired
Beziehung,Relationship
gestohlen,stolen
stirbt,dies
Geheimnis,Secret
süß,sweet
offen,open
Ihrem,yours
Geschenk,Gift
Punkt,Point
Über,Over
hilft,helps
Dame,lady
bewegen,move
solange,as long as
sauer,sour
Tasche,Bag
Schritt,Step
Claire,Claire
Setz,Set
Arm,poor
meinte,said
müsst,must
erwischt,caught
gehabt,had
Bart,beard
vertrauen,trust
erreichen,to reach
wär,would be
Alex,Alex
Gebäude,Building
Ähm,Um
versprochen,promised
O,O
fort,continued
erledigt,completed
Armee,army
nahm,took
näher,closer
weitere,more
Will,Want
Rücken,Back
Chef,boss
Paul,Paul
Regierung,Government
Preis,Price
Hm,Hm
Wunder,Wonder
Verbindung,Connection
Bescheid,Notice
Boot,boat
lst,lst
Dan,Dan
Situation,situation
normal,normal
erledigen,complete
mußt,must
Ehre,Honor
Planeten,Planets
fürs,for
darin,in this
kriegst,you get
drehen,turn
Denk,Think
Prinzessin,princess
Ben,Ben
Drogen,Drugs
Reise,Trip
Mord,murder
Ob,If
Toll,Great
schwöre,swear
Zeiten,times
Schlampe,slut
Regeln,Regulate
aussehen,look
Rede,speech
verliebt,in love
Position,position
redet,talks
Scheisse,Crap
Möglichkeit,Possibility
Sonne,Sun
hol,get
letzter,last
Kontakt,Contact
and,and
Könnte,Could
Damen,Ladies
deswegen,because of this
ähm,um
gekauft,bought
Schwert,sword
Hunger,hunger
Frieden,Peace
CTU,CTU
Tony,Tony
persönlich,personal
Blick,View
Einzige,Only
Nachrichten,News
Maul,Mouth
verraten,betrayed
Hoffnung,Hope
geboren,born
Untertitel,subtitle
kaputt,broken
Soldaten,soldiers
eigene,own
ans,ans
übrig,left over
Muss,Must
hältst,hold
aufhalten,stop
Zeichen,Sign
Sofort,Immediately
dauert,lasts
versteckt,hidden
tatsächlich,actually
Schwein,Pig
Band,tape
Laß,Let
Haare,Hair
wütend,angry
Hochzeit,Wedding
Lhr,Sir
schrecklich,terrible
fühlt,feels
Energie,energy
Chloe,Chloe
traurig,sad
sauber,clean
Leiche,Corpse
links,Left
Kleine,Small
super,Excellent
Bord,board
möchten,want
Erst,First
magst,like
fangen,catch
gesucht,wanted
beschäftigt,busy
wisst,know
weisst,know
Wartet,Wait
erwarten,expect
verschwunden,disappeared
Joey,Joey
Professor,professor
Buffy,Buffy
sobald,as soon as
Billy,Billy
geredet,talked
Brief,letter
acht,eight
Lauf,Run
Robin,Robin
zeigt,shows
Show,show
hübsch,pretty
sucht,seeks
Ross,Horse
verkauft,sold
sagtest,you said
namens,called
Fernsehen,TV
wohin,where
Hol,Hol
ließ,let
heiße,name is
fährt,moves
tanzen,dance
nervös,nervous
findest,find
gegessen,eaten
fehlt,missing
Vergangenheit,Past
miteinander,each other
deines,yours
neben,next to
Handy,mobile
anderer,another
tief,deep
ran,ran
Runter,Down
Aufgabe,Task
The,The
richtigen,right
Foto,photo
schau,look
verdammten,damn
Tee,tea
sieben,seven
Fuß,Foot
geschlafen,slept
brauch,need
of,of
Kindern,children
Beine,Legs
ewig,forever
lhrem,yours
absolut,absolutely
hm,Hm
schlechte,bad
Unsinn,nonsense
ruf,call
Treffen,Meet
irgendetwas,anything
hörst,hear
Bombe,bomb
bekam,got
Herrn,Mr
Halten,Hold
gelassen,calmly
Tante,aunt
angefangen,begun
Hals,Neck
vorne,in front
Bullen,cops
Bank,Bank
Weise,Way
verantwortlich,responsible
Paris,Paris
öffnen,open
schwierig,difficult
seh,see
bleibe,stay
rechts,right
Operation,surgery
Sollen,Should
Anwalt,Attorney
verspreche,promise
bleibst,stay
a,a
Glückwunsch,congratulations
entscheiden,decide
entfernt,removed
brachte,brought
zerstören,destroy
Wahrscheinlich,Probably
Lied,song
gespielt,played
aussieht,looks
Tun,Do
Lust,Desire
Vaters,father
Uh,Uh
Meinst,I mean
Bilder,Pictures
uh,uh
kriege,get
Feind,Enemy
Händen,hands
jung,young
Ball,ball
stecken,put
Sobald,As soon as
Reden,Talk
geholfen,helped
gleichen,same
gehören,belong
wach,awake
genannt,called
zahlen,pay
nahe,vicinity
Aufnahme,Recording
Achtung,Danger
gleiche,same
Viele,Many
Lee,lee
Eddie,Eddie
you,you
Mission,mission
bekomme,get
laut,loud
Schmerz,pain
A,A
Ehrlich,Honestly
Schlag,Blow
Lisa,Lisa
Jawohl,Yes indeed
Fleisch,Meat
legen,place
möchtest,would like
Verstehst,I see
Wozu,For what reason
Weihnachten,Christmas
Erinnerst,Remember
Zieh,Pull
Schwierigkeiten,difficulties
Park,park
Durch,Through
Bleiben,Remain
wussten,knew
meint,means
Gesellschaft,Company
Vince,Vince
gebeten,requested
erhalten,receive
bedeuten,mean
Kennst,Know
verstecken,hide
Respekt,respect
dasselbe,the same thing
Gehirn,Brain
entschieden,decided
zieht,pulls
liebst,love
dachten,thought
Witze,jokes
na,n/a
sorgen,care for
All,Alles
Volk,People
Rat,advice
lebe,live
Präsidenten,Presidents
Schuhe,Shoes
Monster,Monster
dauern,last
Beweise,Proofs
Hälfte,half
schauen,look
Kirche,Church
Eines,One
E,E
Hintern,butt
Spur,track
Lehrer,Teacher
Hilf,Help
Gold,gold
Denken,Think
lieb,dear
FBI,FBI
wunderbar,wonderful
Güte,quality
lasst,leaves
Jim,Jim
geliebt,loved
fahre,drive
Loch,Hole
geschlagen,beaten
ganzes,whole
wunderschön,beautiful
lachen,laugh
Colonel,Colonel
beweisen,prove
Zeig,show
Kleiner,Smaller
gegenüber,opposite
Bus,bus
großes,big
Verstand,understanding
trägt,carries
herausfinden,find out
gewartet,waited
niemandem,no one
Gegend,Area
Bevor,Before
schönen,beautiful
seltsam,strange
bewegt,emotional
Kate,Kate
Haut,skin
Fotos,photos
nah,close
Angriff,attack
Erzähl,Tell
interessant,Interesting
Schlaf,Sleep
Wind,wind
Jesus,Jesus
Messer,Knife
lag,lay
fürchte,fear
beginnt,begins
Weiter,Further
überrascht,surprised
to,to
Richard,Richard
Stell,Place
gefangen,caught
bleib,stay
Bein,leg
Eier,Eggs
singen,to sing
seht,look
Überraschung,Surprise
Dorf,Village
besorgen,obtain
Glas,Glass
Fünf,Five
Einfach,Simply
besuchen,visit
geändert,changed
beginnen,begin
Henry,Henry
echte,real
Pferd,Horse
Held,hero
Taxi,taxi
Freunden,friends
mitnehmen,take along
Gruppe,group
Sorry,Sorry
besorgt,worried
System,system
Gleich,Same
Würde,Would
Jimmy,Jimmy
ruft,calls
Fahren,Drive
Steh,Stand
nimmst,take
Obwohl,Although
Bringt,Brings
falschen,wrong
Susan,Susan
leisten,afford
schwanger,pregnant
Fahr,Drive
Adresse,address
gemeinsam,together
B,b
entkommen,escape
übel,bad
vermisst,missing
Lady,lady
Küche,Kitchen
Flug,Flight
Besuch,Visit
hängt,hangs
werfen,throw
falsche,wrong
Sogar,Even
Ring,ring
Verschwinde,Go away
überleben,survive
Nick,Nick
Gesetz,Law
Tor,Goal
Wald,Forest
ungefähr,approximately
s,s
Patienten,patients
Maschine,machine
Könnten,Could
junge,boy
Fräulein,young lady
gehts,it's okay
Ehe,Before
Würden,Would
Schauspieler,Actor
Dach,Roof
Übersetzung,translation
kannte,knew
Bringen,Bring
drinnen,inside
Wisst,Know
Während,While
Tat,did
Suche,Search
Kim,Kim
Letzte,Last
blöd,stupid
Blumen,Flowers
Setzen,Set
Joy,Joy
Freiheit,Freedom
seines,his
Ecke,Corner
Wäre,Were
Knast,Jail
Karten,cards
pro,Per
Leg,Leg
helfe,help
oh,Oh
Wein,Wine
wette,bet
Vergnügen,Enjoyment
Uns,Us
Unterschied,Difference
Lieber,Dear
Chuck,Chuck
Verbrechen,crime
gibst,give
Vertrauen,Trust
gesund,healthy
Deswegen,Because of this
zweite,second
Hörst,Listen
Steve,Steve
erkennen,recognize
Danny,Danny
Meter,meter
euren,yours
weder,neither
Schüler,Pupils
obwohl,although
bisher,until now
welcher,which
Mut,courage
davor,before
Bar,bar
wohnen,reside
Dem,Dem
Echt,Real
statt,instead of
Pause,Break
Neues,New
Auftrag,Order
Hoffentlich,Hopefully
Tschüss,Bye
Wand,Wall
schreit,cries
Männern,men
Kennen,Know
spreche,speak
kostet,costs
Zuerst,First
Erfolg,Success
Wofür,For what
soweit,so far
Möchtest,Would like
Meinen,Mean
teilen,split
erschossen,shot
entlang,along
Eis,Ice
Amerikaner,American
Abendessen,Dinner
Mistkerl,bastard
übernehmen,take over
Irgendwas,Anything
danken,to thank
irgendwann,sometime
gebaut,built
Bobby,Bobby
schützen,protect
beenden,finish
Super,Excellent
Andy,Andy
Van,Van
Polizist,police officer
gefahren,driven
Chris,Chris
Bericht,report
wovon,About what
Test,test
Monsieur,Monsieur
Arme,poor
wüsste,knew
woher,from where
Majestät,majesty
Fertig,Ready
versteht,understands
trifft,meets
Meer,sea
Hut,cap
zuvor,before
lief,ran
Doug,Doug
Haltet,Hold on
Zeitung,Newspaper
Mami,Mommy
schuldig,guilty
bauen,build
Freude,Joy
zufrieden,satisfied
Zuhause,At home
versuchte,tried
Drink,drink
Niemals,Never
sprach,spoke
indem,by
gemeint,meant
fühlst,feel
deren,whose
Quatsch,Nonsense
Kugel,Bullet
Klingt,Sounds
hielt,held
Gericht,Court
furchtbar,terrible
Würdest,Would you
Wirst,Will
verpasst,lost
Ohren,ears
Rose,rose
neuer,newer
fanden,found
Haufen,heap
Drehbuch,script
Gutes,Good
Schätzchen,baby
Deal,deal
Haar,hair
stehe,stand
fassen,grasp
Ehemann,Husband
funktionieren,function
fragte,asked
verhaftet,arrested
drüber,over it
Sergeant,sergeant
Verantwortung,Responsibility
Major,major
feiern,celebrate
Bücher,Books
kümmere,take care
ähnlich,similar
unterhalten,entertain
Stein,Stone
kümmert,takes care
nächstes,next
gewusst,known
Beim,At the
schöner,more beautiful
aufpassen,watch out
Unglaublich,Incredible
Katze,Cat
DER,THE
geschieht,happens
Brüder,brothers
mitgebracht,brought along
unseres,ours
Verstehe,Understand
Lord,lord
letztes,last
dessen,whose
Vier,Four
mitten,in the middle
erinnert,remind
Wahnsinn,Craziness
vorhin,earlier
Neuigkeiten,news
setzt,puts
klasse,class
